datetime_ist,date,time,cwc_rainfall_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,pore_pressure_kpa,pore_pressure_mbar,pressure_change_6h_kpa,pressure_change_24h_kpa,tilt_deg,pitch_deg,roll_deg,yaw_deg,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps,landslide_risk_score,landslide_risk_level,landslide_event,landslide_next_6h
2024-01-01 00:00:00,01-01-2024,00:00:00,0.0,0.0,0.0,0.0,0.8,8.0,0.0,0.0,2.0,1.181,0.811,5.058,-0.0057,0.0083,9.7884,0.0063,0.017,0.0227,0.06651232396618105,LOW,0,0
2024-01-01 01:00:00,01-01-2024,01:00:00,0.06,0.06,0.06,0.06,0.779,7.79,-0.0209,-0.0209,1.995,1.19,0.788,5.136,-0.012,-0.0095,9.8502,-0.0038,0.0275,0.0834,0.06436346426881213,LOW,0,0
2024-01-01 02:00:00,01-01-2024,02:00:00,0.02,0.07,0.07,0.07,0.738,7.38,-0.0623,-0.0623,2.004,1.251,0.78,5.123,0.0,0.0076,9.7886,-0.0242,-0.0041,0.008,0.06016807152632994,LOW,0,0
2024-01-01 03:00:00,01-01-2024,03:00:00,0.07,0.15,0.15,0.15,0.727,7.27,-0.073,-0.073,2.007,1.21,0.832,4.944,-0.0123,-0.0021,9.8484,-0.0845,-0.0048,-0.0447,0.05904247835151764,LOW,0,0
2024-01-01 04:00:00,01-01-2024,04:00:00,0.0,0.15,0.15,0.15,0.715,7.15,-0.0847,-0.0847,2.002,1.19,0.819,4.887,-0.0056,-0.0016,9.8146,-0.0338,-0.0132,-0.0026,0.05781455852444968,LOW,0,0
2024-01-01 05:00:00,01-01-2024,05:00:00,0.13,0.28,0.28,0.28,0.709,7.09,-0.0905,-0.0905,2.003,1.208,0.814,4.918,-0.0068,0.0153,9.7607,-0.037,-0.0547,-0.0325,0.0572005986109157,LOW,0,0
2024-01-01 06:00:00,01-01-2024,06:00:00,0.17,0.45,0.45,0.45,0.667,6.67,-0.1332,-0.1332,1.996,1.17,0.819,5.031,0.0197,0.0117,9.785,-0.0184,0.0187,0.0549,0.05290287921617786,LOW,0,0
2024-01-01 07:00:00,01-01-2024,07:00:00,0.02,0.41,0.46,0.46,0.673,6.73,-0.106,-0.1269,2.001,1.2,0.782,5.014,-0.0187,-0.0045,9.8197,0.0114,0.056,0.0142,0.053516839129711835,LOW,0,0
2024-01-01 08:00:00,01-01-2024,08:00:00,0.08,0.47,0.54,0.54,0.655,6.55,-0.0826,-0.1448,2.009,1.227,0.826,5.04,0.0058,0.0048,9.836,0.0013,-0.0953,0.0966,0.051674959389109903,LOW,0,0
2024-01-01 09:00:00,01-01-2024,09:00:00,0.12,0.52,0.66,0.66,0.665,6.65,-0.0624,-0.1355,2.012,1.227,0.81,4.993,0.001,0.0028,9.8203,-0.0522,-0.0429,-0.0492,0.052698225911666535,LOW,0,0
2024-01-01 10:00:00,01-01-2024,10:00:00,0.0,0.52,0.66,0.66,0.654,6.54,-0.0612,-0.1459,2.008,1.237,0.814,4.989,0.009,-0.009,9.8164,0.0443,0.0264,0.044,0.05157263273685423,LOW,0,0
2024-01-01 11:00:00,01-01-2024,11:00:00,0.03,0.41,0.69,0.69,0.666,6.66,-0.0436,-0.1342,1.997,1.227,0.841,4.89,-0.0029,0.0067,9.7974,-0.0908,0.0274,-0.0118,0.05280055256392219,LOW,0,0
2024-01-01 12:00:00,01-01-2024,12:00:00,0.06,0.3,0.75,0.75,0.663,6.63,-0.0036,-0.1367,1.993,1.168,0.759,4.96,0.0006,0.0088,9.7992,-0.0316,0.0088,0.0681,0.0524935726071552,LOW,0,0
2024-01-01 13:00:00,01-01-2024,13:00:00,0.0,0.28,0.75,0.75,0.633,6.33,-0.0398,-0.1667,1.978,1.203,0.743,5.006,-0.0107,-0.0117,9.8043,-0.0239,-0.0529,-0.0582,0.04942377303948531,LOW,0,0
2024-01-01 14:00:00,01-01-2024,14:00:00,0.02,0.22,0.76,0.76,0.634,6.34,-0.0212,-0.166,1.977,1.152,0.788,4.976,-0.0038,0.0108,9.8109,0.01,0.0273,-0.0611,0.04952609969174097,LOW,0,0
2024-01-01 15:00:00,01-01-2024,15:00:00,0.0,0.1,0.76,0.76,0.638,6.38,-0.027,-0.1625,2.034,1.22,0.831,4.958,-0.0065,0.0353,9.8167,-0.0378,0.0765,0.0131,0.049935406300763624,LOW,0,0
