datetime_ist,date,time,cwc_rainfall_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,pore_pressure_kpa,pore_pressure_mbar,pressure_change_24h_kpa,tilt_deg,pitch_deg,roll_deg,yaw_deg,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps,landslide_risk_score,landslide_risk_level,landslide_event
01-01-2024 00:00,01-01-2024,00:00:00,0,0,0,0,1.2,12,0,2.004,1.2,0.8,5.015,-0.006,-0.0142,9.8002,0.0892,-0.1747,-0.0334,0.0235,LOW,0
01-01-2024 01:00,01-01-2024,01:00:00,0,0,0,0,1.204,12.04,0.004,2.01,1.201,0.801,4.932,0.0111,0.0021,9.8325,-0.0541,-0.137,0.1605,0.0166,LOW,0
01-01-2024 02:00,01-01-2024,02:00:00,0,0,0,0,1.165,11.65,-0.035,2.016,1.202,0.803,5.025,-0.0004,0.0163,9.7957,-0.0765,0.0251,-0.0593,0.0174,LOW,0
01-01-2024 03:00,01-01-2024,03:00:00,0,0,0,0,1.139,11.39,-0.061,2.016,1.203,0.804,4.994,-0.0059,-0.0041,9.809,-0.0056,-0.1269,-0.0046,0.0122,LOW,0
01-01-2024 04:00,01-01-2024,04:00:00,0,0,0,0,1.158,11.58,-0.042,2.015,1.204,0.806,5.135,-0.0051,0.0226,9.8398,-0.0688,0.0784,0.089,0,LOW,0
01-01-2024 05:00,01-01-2024,05:00:00,0,0,0,0,1.096,10.96,-0.104,2.007,1.206,0.807,5.251,0.0166,-0.0018,9.8218,-0.0475,-0.1449,-0.0326,0.0048,LOW,0
01-01-2024 06:00,01-01-2024,06:00:00,0,0,0,0,1.095,10.95,-0.105,2.005,1.207,0.808,5.194,-0.0085,-0.0002,9.8484,-0.0196,-0.0293,-0.0078,0.0502,LOW,0
01-01-2024 07:00,01-01-2024,07:00:00,0,0,0,0,1.064,10.64,-0.136,2.006,1.208,0.81,5.28,0.0059,-0.0093,9.7958,-0.0439,-0.0149,-0.0985,0.0275,LOW,0
01-01-2024 08:00,01-01-2024,08:00:00,0,0,0,0,1.035,10.35,-0.165,2.012,1.209,0.811,5.088,0.0043,0.0056,9.8249,-0.0082,0.1274,-0.1613,0.0065,LOW,0
01-01-2024 09:00,01-01-2024,09:00:00,0,0,0,0,0.991,9.91,-0.209,2,1.21,0.813,5.051,-0.0121,0.0178,9.8582,-0.0269,0.0697,-0.0447,0,LOW,0
01-01-2024 10:00,01-01-2024,10:00:00,27.21,27.21,27.21,27.21,1.598,15.98,0.398,1.998,1.211,0.814,5.01,-0.0138,0.0088,9.8168,-0.0179,-0.0851,0.1095,0,LOW,0
01-01-2024 11:00,01-01-2024,11:00:00,0,27.21,27.21,27.21,1.687,16.87,0.487,1.985,1.212,0.815,5.057,0.0062,-0.0131,9.8254,-0.0028,0.0943,0.0366,0,LOW,0
01-01-2024 12:00,01-01-2024,12:00:00,0,27.21,27.21,27.21,1.784,17.84,0.584,1.975,1.213,0.817,5.054,0.027,0.0011,9.8452,-0.0348,0.0322,-0.1287,0,LOW,0
